Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
2010017QMMT2QB,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/1 23:38,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,39",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,35.9,6,0.72,0,1.79,35.9,6,orbpeiqtdx,,,
2010017QPJUPQG,Completed,,,MY203325386385D,Standard Delivery,Dropoff,2020/10/12 23:40,2020/10/4 13:45,2020/10/1 23:39,2020/10/1 23:40,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,31",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,28.89,0,0.56,0,1.67,27.89,6,sitidayanamuhammadzain,,2020/10/14 20:49,
2010027Y7X0E7G,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/2 1:54,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_27,"pink,27",53.6,29.9,1,29.9,23.7,23.7,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,29.9,0,0.58,0,1.73,28.9,6,anizasenawi86,,,
20100287F9BJH3,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/2 4:21,-,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-??_23,"black-Mickey,23",48,27.5,1,27.5,20.5,20.5,0,0.3,2,0.6,,0,0,0,N,0,0,0,0,60.2,5.2,1.2,0,3.3,60.2,5.2,hhazlina75,,,
20100287F9BJH3,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/2 4:21,-,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-???_23,"black-Batman,23",48,27.5,1,27.5,20.5,20.5,0,0.3,2,0.6,,0,0,0,N,0,0,0,0,60.2,5.2,1.2,0,3.3,60.2,5.2,hhazlina75,,,
2010028FUWJB52,Completed,,,MY208436708393H,Standard Delivery,Dropoff,2020/10/12 6:52,2020/10/3 13:24,2020/10/2 6:52,2020/10/2 6:52,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,28",34.53,25.89,1,25.89,8.64,8.64,0,0.5,1,0.5,LUCAA;CROCT1;FSV-60680007,1,0,0,N,0,0,0,0,25.89,0,0.5,0,1.49,24.89,5.2,hairunisa18,,2020/10/9 14:07,
2010028KAHRYD0,Completed,,,MY207911204351H,Standard Delivery,Dropoff,2020/10/12 7:55,2020/10/3 13:34,2020/10/2 7:53,2020/10/2 7:55,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,34",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA;CRSEPT7;FSV-60641745,1,0,0,N,0,0,0,0,28.89,0,0.56,0,1.67,27.89,6,jamilahabas,,2020/10/14 19:42,
2010028KSJE0YJ,Completed,,,MY2078184993042,Standard Delivery,Dropoff,2020/10/12 8:03,2020/10/3 13:24,2020/10/2 8:02,2020/10/2 8:03,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_27,"pink,27",53.6,29.9,1,29.9,23.7,23.7,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,29.9,0,0.58,0,1.73,28.9,6,anizasenawi86,,2020/10/11 18:40,
2010028TGBHXRF,Completed,,,MY2026905200934,Standard Delivery,Dropoff,2020/10/12 10:03,2020/10/4 13:45,2020/10/2 10:02,2020/10/2 10:03,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,34",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,34.09,5.2,0.66,0,1.67,33.09,5.2,eyraina1709,,2020/10/13 8:47,
2010028THWB6KP,Cancelled,Cancelled by buyer. Reason: Need to modify existing order,,,Standard Delivery,Dropoff,2020/10/12 10:03,,2020/10/2 10:03,2020/10/2 10:03,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_32,"pink,32",56.9,39.83,1,39.83,17.07,17.07,0,0.5,1,0.5,LUCAA;FSV-60680007,1,0,0,N,0,0,0,0,39.83,0,0.78,0,2.33,38.83,6,aluwihana,,,
2010028TSQ1YFQ,Completed,,,MY205379033798C,Standard Delivery,Dropoff,2020/10/12 10:07,2020/10/4 13:23,2020/10/2 10:07,2020/10/2 10:07,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_32,"pink,32",56.9,39.83,1,39.83,17.07,17.07,0,0.5,1,0.5,LUCAA;FSV-60680007,1,0,0,N,0,0,0,0,39.83,0,0.78,0,2.33,38.83,6,aluwihana,,2020/10/9 18:08,
2010028VMAW05H,Completed,,,MY205885897159P,Standard Delivery,Dropoff,2020/10/12 10:50,2020/10/4 13:45,2020/10/2 10:40,2020/10/2 10:50,KT-??C-2,Ready Stock Shoes Kids  Sport Shoes kids Velcro Breathable Mesh Vamp Sneakers LED Sneakers Spiderman Spiderman,KT-??C-2_Red_31,"Red,31",61.33,42.99,1,42.99,18.34,18.34,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,42.99,0,0.84,0,2.52,41.99,5.2,aflamitazakir,,2020/10/13 15:13,
2010028XUBAPYE,Completed,,,MY2066405174729,Standard Delivery,Dropoff,2020/10/12 11:21,2020/10/5 11:24,2020/10/2 11:20,2020/10/2 11:21,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"pink,30",37,25.9,1,25.9,11.1,11.1,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,25.9,0,0.5,0,1.49,24.9,6,janice_lmc0302,,2020/10/13 15:52,
2010028YTTQUP4,Completed,,,MY207621639842O,Standard Delivery,Dropoff,2020/10/12 11:37,2020/10/4 14:04,2020/10/2 11:37,2020/10/2 11:37,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-???_27,"red,27",48,27.5,1,27.5,20.5,20.5,0,0.3,1,0.3,LUCAA;FSV-60680007,1,0,0,N,0,0,0,0,27.5,0,0.53,0,1.59,26.5,6,konleefong,,2020/10/9 15:32,
